"ng-star-inserted","ng-star-inserted 2","ng-star-inserted 3"
"Max","Avg","Min"
"15","7.8","3"
"12","4.5","-1"
"10","6.3","3"
"9","3.3","-3"
"10","8.2","5"
"8","4.2","1"
"11","5.3","-1"
"7","2.0","-2"
"9","4.9","0"
"6","4.5","4"
"7","3.3","0"
"9","4.7","2"
"11","6.1","-1"
"8","4.0","-2"
"9","4.9","-2"
"4","2.0","-1"
"7","2.3","-1"
"3","1.4","-1"
"2","0.2","-1"
"0","-0.8","-4"
"1","0.0","-1"
"1","0.5","0"
"2","1.5","0"
"2","1.7","1"
"2","0.8","0"
"0","-0.6","-1"
"0","-0.7","-1"
"0","-1.0","-1"
"-1","-1.9","-3"
"3","-0.2","-5"
"2","1.3","0"